episode,reward,episode_length,running_reward,switch_rate,max_cart_velocity,max_pole_angle,max_angular_velocity,mean_pole_angle,mean_angular_velocity
122,18.0,18,35.02266465586739,0.5294117647058824,0.9883874,0.19676106,1.4600283,0.075740784,0.60507154
123,25.0,25,34.92243800930871,0.5,0.60477567,0.20213681,1.1022502,0.104683876,0.45510867
124,89.0,89,35.46321362921562,0.5340909090909091,1.088783,0.19574262,1.0124449,0.064929955,0.29938972
125,36.0,36,35.46858149292347,0.4857142857142857,0.7703244,0.2091802,1.1399527,0.10851148,0.34032086
126,54.0,54,35.653895677994235,0.5660377358490566,0.5995803,0.2072202,0.9275544,0.06972051,0.33745232
127,49.0,49,35.787356721214294,0.5208333333333334,0.7692521,0.19913343,1.0468915,0.06171207,0.3759589
128,89.0,89,36.31948315400215,0.5340909090909091,1.8456278,0.20335226,1.0510422,0.09110976,0.38306072
129,13.0,13,36.08628832246213,0.4166666666666667,0.75791264,0.20212626,1.2641072,0.10715878,0.62767863
130,43.0,43,36.15542543923751,0.4523809523809524,0.75204754,0.1890839,1.2966754,0.082184434,0.36536646
131,57.0,57,36.36387118484514,0.5357142857142857,1.294138,0.20631179,0.89682263,0.11387076,0.33926937
132,99.0,99,36.99023247299669,0.5306122448979592,3.2834573,0.20933029,0.97544074,0.15174115,0.2979172
133,169.0,169,38.310330148266715,0.5833333333333334,2.0771089,0.119484104,1.0524486,0.04899414,0.2905649
134,108.0,108,39.00722684678404,0.6074766355140186,0.9403373,0.19325565,1.2103848,0.071925394,0.30242196
135,96.0,96,39.577154578316204,0.5894736842105263,1.0142673,0.20222713,1.3704671,0.059024375,0.38613462
136,72.0,72,39.90138303253304,0.5352112676056338,0.72853255,0.20379192,0.9831201,0.054316476,0.4090414
137,101.0,101,40.51236920220771,0.56,1.8174003,0.20795815,0.91021216,0.09868953,0.28791896
138,117.0,117,41.27724551018563,0.5775862068965517,2.8009076,0.19383334,0.812953,0.10522154,0.25888154
